Data;NDVI;M�dia - Desvio Padr�o;M�dia + Desvio Padr�o
02/12/2008;0,4684;0,3505;0,5862
18/12/2008;0,4269;0,2718;0,5821
01/01/2009;0,7672;0,7293;0,8052
17/01/2009;0,5083;0,3765;0,6401
02/02/2009;0,7856;0,7083;0,8629
18/02/2009;0,766;0,7242;0,8077
06/03/2009;0,7947;0,7401;0,8493
22/03/2009;0,6746;0,5671;0,7821
07/04/2009;0,6152;0,5794;0,651
23/04/2009;0,5931;0,5336;0,6526
09/05/2009;0,5525;0,4701;0,635
25/05/2009;0,5582;0,4999;0,6165
10/06/2009;0,4858;0,4113;0,5604
26/06/2009;0,5243;0,4688;0,5798
12/07/2009;0,5297;0,4776;0,5818
28/07/2009;0,5704;0,5124;0,6284
13/08/2009;0,5471;0,4665;0,6278
29/08/2009;0,5528;0,4748;0,6307
14/09/2009;0,4931;0,4045;0,5817
30/09/2009;0,521;0,4404;0,6017
16/10/2009;0,4789;0,3133;0,6444
01/11/2009;0,5136;0,3695;0,6576
17/11/2009;0,4034;0,2792;0,5277
03/12/2009;0,7192;0,6283;0,8101
19/12/2009;0,6868;0,5441;0,8295
01/01/2010;0,8159;0,6999;0,9319
17/01/2010;0,4233;0,2697;0,577
02/02/2010;0,802;0,7611;0,8428
18/02/2010;0,569;0,4425;0,6954
06/03/2010;0,6937;0,6427;0,7447
22/03/2010;0,5717;0,4918;0,6515
07/04/2010;0,5128;0,3951;0,6306
23/04/2010;0,4875;0,3939;0,5811
09/05/2010;0,4751;0,3834;0,5668
25/05/2010;0,5161;0,4422;0,5899
10/06/2010;0,5041;0,4299;0,5783
26/06/2010;0,4532;0,4102;0,4962
12/07/2010;0,4513;0,4119;0,4906
28/07/2010;0,4139;0,3649;0,463
13/08/2010;0,3619;0,3145;0,4093
29/08/2010;0,3545;0,2897;0,4194
14/09/2010;0,3582;0,3196;0,3968
30/09/2010;0,4546;0,3496;0,5595
16/10/2010;0,3779;0,2786;0,4772
01/11/2010;0,4573;0,3797;0,5348
17/11/2010;0,5629;0,5094;0,6164
03/12/2010;0,8225;0,7799;0,8651
19/12/2010;0,778;0,6604;0,8956
01/01/2011;0,3989;0,0338;0,7641
17/01/2011;0,801;0,7493;0,8526
02/02/2011;0,7456;0,7142;0,7769
18/02/2011;0,7463;0,7298;0,7627
06/03/2011;0,3071;0,2301;0,3841
22/03/2011;0,5;0,4122;0,5878
07/04/2011;0,523;0,4332;0,6128
